Component,Material,Technological Compatibility,Regulatory Compliance,Disposal and Energy Recovery,Lifespan Qualification,New/Good Condition/Disassembly Easiness,Cost-Effective,Metal Content
Electrical Cable,Copper,5,5,4,1,1,1,5
Boiler,Steel,4,5,4,4,4,3,4
Water Pipe,PEX,5,1,5,1,2,1,1
Air Duct,Aluminum,2,2,5,1,1,4,5
Radiator,Steel,1,1,4,4,2,5,5
Heat Pump,Steel,4,4,4,3,4,5,5
Toilet,Ceramic,5,5,1,5,4,4,1
Sink,Ceramic,5,5,2,5,3,2,1
Shower,Ceramic,5,5,2,3,4,4,1
Bathtub,Ceramic,5,5,2,5,4,4,1
Electrical Cable,Copper,5,5,4,2,2,1,5
Boiler,Steel,5,4,4,4,3,5,4
Water Pipe,PEX,5,1,4,2,1,1,1
Air Duct,Aluminum,1,1,5,1,2,5,5
Radiator,Steel,1,1,4,4,2,5,5
Heat Pump,Steel,5,5,4,4,3,4,5
Toilet,Ceramic,5,5,1,3,3,4,1
Sink,Ceramic,5,4,2,5,5,2,2
Shower,Ceramic,5,5,1,3,5,4,2
Bathtub,Ceramic,5,4,1,4,4,3,1
Electrical Cable,Copper,5,5,5,1,1,1,4
Boiler,Steel,5,4,5,3,4,4,5
Water Pipe,PEX,5,2,5,2,1,1,1
Air Duct,Aluminum,1,2,5,1,1,4,5
Radiator,Steel,1,1,5,4,2,5,5
Heat Pump,Steel,5,5,4,2,2,5,5
Toilet,Ceramic,5,5,1,5,5,4,1
Sink,Ceramic,5,4,1,4,5,4,2
Shower,Ceramic,4,4,1,3,4,3,1
Bathtub,Ceramic,4,5,1,3,5,2,1
Electrical Cable,Copper,4,4,5,1,2,1,4
Boiler,Steel,4,5,4,2,4,4,5
Water Pipe,PEX,5,1,5,2,2,2,1
Air Duct,Aluminum,1,1,5,1,1,5,5
Radiator,Steel,1,1,4,2,2,5,4
Heat Pump,Steel,5,5,5,4,4,5,4
Toilet,Ceramic,5,5,1,5,4,4,2
Sink,Ceramic,5,5,1,5,3,4,2
Shower,Ceramic,4,5,2,4,5,3,1
Bathtub,Ceramic,4,5,2,5,3,2,1
Electrical Cable,Copper,5,5,5,1,1,1,4
Boiler,Steel,5,4,4,4,4,3,5
Water Pipe,PEX,5,2,4,2,1,1,2
Air Duct,Aluminum,1,1,4,1,2,5,4
Radiator,Steel,1,1,4,4,4,5,4
Heat Pump,Steel,5,5,5,3,3,4,4
Toilet,Ceramic,4,5,1,4,3,2,1
Sink,Ceramic,5,5,2,4,4,3,1
Shower,Ceramic,5,5,2,4,3,2,1
Bathtub,Ceramic,5,5,1,4,5,3,2
Electrical Cable,Copper,5,5,5,1,1,1,4
Boiler,Steel,4,5,5,4,4,4,5
Water Pipe,PEX,5,1,5,1,1,2,1
Air Duct,Aluminum,1,1,5,1,1,5,5
Radiator,Steel,1,2,5,4,2,5,5
Heat Pump,Steel,5,5,5,3,3,5,4
Toilet,Ceramic,4,5,1,5,4,2,1
Sink,Ceramic,5,5,1,4,5,3,1
Shower,Ceramic,5,5,1,3,5,4,2
Bathtub,Ceramic,4,5,2,3,5,3,1
Electrical Cable,Copper,5,5,5,1,1,2,4
Boiler,Steel,4,5,5,2,2,4,5
Water Pipe,PEX,4,1,5,1,1,2,1
Air Duct,Aluminum,1,1,4,1,1,4,5
Radiator,Steel,1,1,5,2,4,5,4
Heat Pump,Steel,5,5,4,4,4,4,5
Toilet,Ceramic,5,5,1,4,3,2,1
Sink,Ceramic,4,4,2,4,4,3,1
Shower,Ceramic,5,5,2,4,3,2,2
Bathtub,Ceramic,5,5,1,3,5,4,1
Electrical Cable,Copper,5,5,5,1,2,1,4
Boiler,Steel,5,5,5,2,3,4,4
Water Pipe,PEX,4,2,5,1,2,2,1
Air Duct,Aluminum,2,1,4,2,2,4,4
Radiator,Steel,1,1,4,2,2,5,4
Heat Pump,Steel,5,4,4,2,3,5,5
Toilet,Ceramic,5,4,2,5,3,2,1
Sink,Ceramic,4,5,2,4,4,3,1
Shower,Ceramic,5,5,1,4,4,2,2
Bathtub,Ceramic,5,4,2,3,4,4,1
Electrical Cable,Copper,5,5,4,2,1,2,4
Boiler,Steel,5,4,5,4,4,4,5
Water Pipe,PEX,4,2,5,1,1,1,1
Air Duct,Aluminum,2,1,4,2,2,5,4
Radiator,Steel,2,1,4,2,2,5,4
Heat Pump,Steel,5,4,4,2,2,4,5
Toilet,Ceramic,4,4,2,5,4,4,2
Sink,Ceramic,4,5,1,3,4,4,1
Shower,Ceramic,5,4,2,5,5,3,1
Bathtub,Ceramic,4,5,1,3,4,4,1
Electrical Cable,Copper,4,4,5,2,1,1,5
Boiler,Steel,5,4,4,2,4,4,4
Water Pipe,PEX,5,1,5,1,1,1,2
Air Duct,Aluminum,1,1,5,1,1,4,5
Radiator,Steel,1,2,5,3,2,4,4
Heat Pump,Steel,4,5,5,3,4,4,5
Toilet,Ceramic,4,4,1,3,3,4,2
Sink,Ceramic,4,4,2,5,3,2,1
Shower,Ceramic,5,5,2,3,3,3,1
Bathtub,Ceramic,5,5,1,5,4,2,1
Electrical Cable,Copper,5,5,5,2,1,2,4
Boiler,Steel,5,5,5,2,3,3,4
Water Pipe,PEX,4,1,4,1,2,2,1
Air Duct,Aluminum,1,1,4,1,1,4,5
Radiator,Steel,1,1,4,4,2,5,4
Heat Pump,Steel,5,5,4,2,4,5,5
Toilet,Ceramic,5,5,1,5,3,2,2
Sink,Ceramic,5,4,1,3,4,3,1
Shower,Ceramic,4,4,1,4,3,4,1
Bathtub,Ceramic,5,5,1,4,4,4,2
Electrical Cable,Copper,5,4,4,1,1,1,5
Boiler,Steel,4,4,5,3,3,3,5
Water Pipe,PEX,4,1,4,1,1,1,1
Air Duct,Aluminum,2,1,4,1,2,5,5
Radiator,Steel,1,2,5,3,2,5,5
Heat Pump,Steel,5,4,4,4,2,5,5
Toilet,Ceramic,5,4,1,5,5,4,2
Sink,Ceramic,4,5,1,4,5,3,2
Shower,Ceramic,5,4,2,3,5,3,1
Bathtub,Ceramic,4,5,2,4,5,3,1
Electrical Cable,Copper,5,5,5,2,2,1,5
Boiler,Steel,4,4,5,3,4,3,4
Water Pipe,PEX,5,1,5,1,1,1,1
Air Duct,Aluminum,1,1,5,2,1,5,4
Radiator,Steel,2,1,5,4,3,5,5
Heat Pump,Steel,5,5,5,4,3,5,4
Toilet,Ceramic,5,5,1,3,3,2,1
Sink,Ceramic,4,4,2,4,4,3,2
Shower,Ceramic,4,5,2,3,3,3,1
Bathtub,Ceramic,4,4,2,4,4,2,2
Electrical Cable,Copper,5,5,5,1,2,1,5
Boiler,Steel,4,5,5,3,2,4,4
Water Pipe,PEX,4,1,5,1,1,2,2
Air Duct,Aluminum,1,1,5,2,2,4,5
Radiator,Steel,1,2,5,4,3,4,4
Heat Pump,Steel,4,5,5,4,3,5,4
Toilet,Ceramic,5,5,1,3,4,4,1
Sink,Ceramic,4,4,2,5,3,4,1
Shower,Ceramic,5,5,2,3,3,3,1
Bathtub,Ceramic,5,5,1,4,3,3,2
Electrical Cable,Copper,5,5,5,1,2,1,4
Boiler,Steel,4,5,5,3,3,5,5
Water Pipe,PEX,5,1,5,1,2,1,2
Air Duct,Aluminum,1,2,5,1,1,5,4
Radiator,Steel,1,1,4,3,2,5,5
Heat Pump,Steel,4,5,5,4,3,5,5
Toilet,Ceramic,4,5,1,4,4,2,1
Sink,Ceramic,5,5,1,3,4,3,1
Shower,Ceramic,4,5,2,4,5,4,2
Bathtub,Ceramic,5,4,2,5,3,4,1
Electrical Cable,Copper,5,5,5,2,2,1,4
Boiler,Steel,4,5,4,2,3,5,4
Water Pipe,PEX,5,2,5,1,1,1,2
Air Duct,Aluminum,1,2,4,1,1,5,5
Radiator,Steel,2,1,5,3,2,4,5
Heat Pump,Steel,4,5,5,4,2,5,5
Toilet,Ceramic,4,4,2,3,4,4,1
Sink,Ceramic,4,4,1,3,3,4,2
Shower,Ceramic,4,5,1,3,4,2,2
Bathtub,Ceramic,5,5,1,5,5,2,2
Electrical Cable,Copper,5,5,5,1,2,1,5
Boiler,Steel,5,5,4,3,2,5,5
Water Pipe,PEX,5,2,5,1,1,1,1
Air Duct,Aluminum,2,1,5,2,2,5,5
Radiator,Steel,2,1,5,4,4,5,5
Heat Pump,Steel,5,4,5,2,4,5,4
Toilet,Ceramic,5,4,1,5,5,4,1
Sink,Ceramic,5,4,2,3,4,4,2
Shower,Ceramic,4,4,1,3,5,3,2
Bathtub,Ceramic,4,5,1,3,5,3,1
Electrical Cable,Copper,4,5,5,1,2,1,5
Boiler,Steel,5,4,5,4,4,5,4
Water Pipe,PEX,5,1,5,1,1,1,1
Air Duct,Aluminum,1,2,4,1,1,5,4
Radiator,Steel,2,2,4,2,4,5,4
Heat Pump,Steel,5,4,5,3,3,5,5
Toilet,Ceramic,4,5,1,3,4,4,2
Sink,Ceramic,5,4,2,3,5,3,1
Shower,Ceramic,5,4,2,4,4,2,1
Bathtub,Ceramic,4,5,2,3,5,4,1
Electrical Cable,Copper,4,4,5,2,2,1,5
Boiler,Steel,4,5,4,4,2,3,5
Water Pipe,PEX,5,1,4,1,1,2,2
Air Duct,Aluminum,1,1,4,1,2,5,5
Radiator,Steel,1,1,4,3,4,5,4
Heat Pump,Steel,4,5,5,2,4,5,5
Toilet,Ceramic,5,5,2,4,4,2,1
Sink,Ceramic,5,5,1,4,4,2,2
Shower,Ceramic,5,5,1,4,5,2,1
Bathtub,Ceramic,4,5,1,5,4,4,2
Electrical Cable,Copper,5,4,4,2,1,2,4
Boiler,Steel,4,5,5,3,2,4,4
Water Pipe,PEX,5,2,4,2,1,2,2
Air Duct,Aluminum,1,2,5,1,1,4,4
Radiator,Steel,2,1,4,4,4,5,5
Heat Pump,Steel,5,5,5,4,3,5,5
Toilet,Ceramic,5,5,1,5,4,2,2
Sink,Ceramic,5,5,1,3,3,3,1
Shower,Ceramic,4,4,2,3,4,2,1
Bathtub,Ceramic,5,5,1,4,4,3,1
